species,official gene symbol,cell type,nicknames
Hs,SOX18,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SGIP1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FRAT1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NME2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ZNF124,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,METRN,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TRIM61,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC9A3R2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FBXL6,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TRNP1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RGMB-AS1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,EFHD2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FCF1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-706C16.7,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MAP2K2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPTY2D1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPRY1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CCZ1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP3A7-CYP3A51P,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ADD2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPTA1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC38A5,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ICAM4,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AC104389.1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ANK1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GYPE,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FAM178B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GATA1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GFI1B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ACOT1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RGCC,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GABRE,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NFE2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KCNH2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRDM6,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BBOX1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFI,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GSTT2B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KLKB1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TAL1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PF4,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC51A,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSPA6,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DONSON,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MT1HL1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-386G11.10,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LPA,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CDHR5,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BAAT,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RFESD,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,S100A4,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KANSL1-AS1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP4F12,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,APOA4,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TCP10L,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FETUB,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FOS,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HK1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DNAJA4,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TFRC,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSPA1B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC1A2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MLLT3,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MT1B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PIM1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,EPOR,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,G6PC,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GLS2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LYL1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LECT2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GC,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC2A1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GSTA1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP4A11,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ERMAP,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLCO1B3,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LXN,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IL32,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CLEC4M,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPBP,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MBOAT2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SERPINI1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC22A7,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NR1I3,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FMO1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CH507-154B10.1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,C1R,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GYLTL1B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FECH,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,C3,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFB,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PHKG1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPP1R15A,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PCK1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CNRIP1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSPA1A,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ASPG,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC6A12,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ZFP36,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ADH4,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MTRNR2L12,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BTG2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CCND3,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DUSP1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BHLHE40,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ACSL5,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLCO1B1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
